-0.812,-6.875,1.813,-1.17,-0.31,-0.03
-6.688,-3.438,3.125,-0.59,-0.53,0.06
-1.937,-1.813,4.125,-0.32,-0.69,0.09
-1.937,-0.313,4.625,-0.09,-0.77,0.1
-1.75,0.562,5.063,1.37,-0.85,0.11
-6.375,1.437,5.125,1.52,-0.86,0.11
-1.5,2.125,4.375,1.64,-0.74,0.1
-1.437,2.5,3.938,0.42,-0.67,0.09
-1.437,2.312,2.875,1.67,-0.49,0.07
-1.625,1.25,3.188,0.21,-0.53,0.08
-1.625,-0.313,4.125,-0.03,-0.68,0.1
-1.5,-2.125,4.813,-0.37,-0.81,0.1
-1.5,-3.813,4.938,-0.66,-0.83,0.08
-1.437,-5.375,4.938,-0.89,-0.84,0.06
-1.5,-6.438,4.75,-1.11,-0.8,0.04
-1.437,-7.375,4.875,0.01,-0.83,0.02
-1.562,-8.188,5.563,-0.12,-0.95,0.01
-1.75,-8.5,6.375,-0.17,-1.07,0.01
-1.875,-8.438,7.25,-0.17,-1.23,0.02
-5.813,-8,8,-1.37,-1.36,0.04
-2.562,-7.375,8.563,0.02,-1.45,0.06
-2.75,-4.375,9.063,-0.75,-1.54,0.12
-5.063,-1.75,9,-0.31,-1.53,0.14
-3,-0.188,9.125,-0.04,-1.54,0.15
-4.813,2.125,8.625,0.36,-1.46,0.14
-2.687,5.437,6.625,2.21,-1.13,0.1
-2.312,9,5.25,1.47,-0.9,0.02
-2.125,11.187,5.125,1.9,-0.88,-0.06
-2.312,12.562,3.875,2.13,-0.67,-0.13
-2.562,13.75,2.25,2.31,-0.42,-0.2
-2.625,14,1.938,2.37,-0.36,-0.22
-2.875,13.375,0.313,2.26,-0.09,-0.24
-3.125,12.687,-1,2.16,0.11,-0.25
-4.75,12,-1.437,2.03,0.2,-0.24
-3.375,10.625,-1.5,1.8,0.23,-0.2
-3.562,8.562,-1.625,1.45,0.26,-0.15
-3.562,5.937,-1.75,2.34,0.28,-0.11
-3.625,3.5,-1.5,1.87,0.25,-0.06
-4.313,0.75,-0.312,1.41,0.06,-0.01
-3.938,-3.875,0.688,-0.66,-0.11,-0.01
-4.25,-5.313,1.813,-0.92,-0.3,0
-4.625,-3.125,2050.875,-0.54,-0.49,0.05
-4.687,-1.563,4.125,-0.27,-0.69,0.09
-3.75,0,4.688,-0.01,-0.79,0.11
-4.062,0.937,5.063,0.14,-0.85,0.11
-4,1.687,5.125,1.56,-0.87,0.11
-3.812,2.25,4.313,1.66,-0.73,0.1
-4.313,2.562,3.688,1.71,-0.63,0.08
-3.625,2.375,2.75,1.68,-0.46,0.06
-3.812,1.562,2.563,1.54,-0.43,0.06
-4,0,3.563,0,-0.6,0.09
-4,-2.125,3.438,-0.34,-0.58,0.08
-4.125,-3.75,3.5,-0.65,-0.59,0.06
-4.187,-5.125,3.688,-0.88,-0.63,0.04
-4.312,-6.375,4.188,-1.09,-0.71,0.03
-3.5,-7.5,5.625,-1.28,-0.95,0.03
-4.687,-7.875,6,-0.07,-1.03,0.02
-4.812,-8.188,6.938,-0.12,-1.18,0.02
-5.062,-8.313,7.688,-0.14,-1.31,0.03
-5.312,-7.938,8.313,-0.08,-1.41,0.04
-5.625,-7,8.813,-1.2,-1.5,0.07
-5.562,-3.438,9.125,-0.6,-1.55,0.13
-5.687,-1.75,9,-0.31,-1.52,-327.54
-5.687,-0.188,9.063,-0.04,-1.53,0.15
-2.25,2.75,8.313,0.46,-1.41,0.14
-2.688,5.687,6.313,2.25,-1.07,0.09
-4.937,8.937,5.875,1.47,-1.01,0.02
-4.812,11.25,4.875,1.91,-0.83,-0.07
-4.875,12.687,4.125,2.15,-0.71,-0.13
-5.062,13.812,2.25,2.34,-0.41,-0.21
-5.312,14.312,1.063,2.42,-0.22,-0.26
-5.562,13.937,0,2.36,-0.05,-0.27
-5.812,13.25,-1.187,2.24,0.15,-0.28
-2.063,12.312,-1.375,2.09,0.19,-0.25
-1.938,10.687,-1.437,1.81,0.22,-0.2
-1.75,8.25,-1.562,1.4,0.24,-0.14
-6.312,5.687,-1.75,2.25,0.29,-0.1
-1.563,4,-1.437,1.96,0.24,-0.07
-6.562,1.312,-0.25,1.5,0.04,-0.01
-7,-2.5,0.625,-0.43,-0.11,0
-7.375,-4.875,1.625,-0.83,-0.28,0
-1,-2.75,2.938,-0.47,-0.5,0.06
-6.812,-1.188,4.125,-0.21,-0.7,0.09
-6.562,0.437,4.75,1.35,-0.8,0.11
-6.5,1.312,5.063,0.2,-0.85,0.11
-6.5,2,5.063,1.61,-0.86,0.11
-6.437,2.562,4.5,1.71,-0.76,0.1
-6.187,2.875,3.563,1.77,-0.6,0.08
-6.187,2.625,2.688,1.72,-0.46,0.06
-6.312,1.875,2.688,1.6,-0.45,0.06
